entrez_id	tissue_group	group_mean	group_variance	log2_variance	mean_bin
53336	normal	2.36655854970588	0.0374064077833521	-4.74057076229758	5
53339	normal	9.823838918	0.253086171979375	-1.98229941067769	30
5334	normal	5.00592549329412	0.788925814431857	-0.342038450140623	19
53340	normal	4.17056863847059	0.489166433100126	-1.03160268624178	17
53342	normal	3.60998603194118	1.48620106155538	0.571629304898577	15
53343	normal	8.01438057235294	0.355534406592916	-1.49193891248558	27
53344	normal	4.77637206547059	0.299322922633657	-1.7402253279004	18
53345	normal	2.64193216152941	0.170237985289032	-2.55437511265931	11
53346	normal	4.53035106888235	0.584821508987622	-0.773931722141589	18
53347	normal	2.34694691511765	0.0154205678182006	-6.01900030043489	4
53349	normal	7.76881058205882	0.533659023670114	-0.906009854813614	27
5335	normal	7.00780838070588	0.0886639431283781	-3.49550866524518	25
53353	normal	5.37151583823529	4.11098608407827	2.03948448830534	20
53354	normal	5.67443415241177	0.575675820094415	-0.796671478364164	21
53358	normal	4.71867193452941	2.30357007496751	1.20387148562192	18
5336	normal	6.79732151717647	1.13740195090081	0.185742183952204	24
5337	normal	5.64782708417647	0.905563142599512	-0.14311285477301	21
53371	normal	2.35351549835294	0.00924735750364546	-6.75674312022582	5
53373	normal	6.39917340235294	0.277536437028116	-1.84925090335654	23
5338	normal	6.22315834105882	0.114614318200657	-3.12514081076852	23
5339	normal	5.91094962029412	0.120815605785287	-3.04912127486936	22
534	normal	2.33819733176471	0.00299883089293976	-8.38138411517164	4
5340	normal	2.47772500588235	0.0778223471406086	-3.68367169678018	9
53405	normal	5.19277721276471	0.590301560522332	-0.760475939185479	19
53407	normal	6.77310526776471	0.618953118456099	-0.692097955774654	24
5341	normal	5.74574654694118	1.35026666043372	0.43324434927255	21
5342	normal	2.312811642	0	-26.5754247590989	1
5345	normal	2.48116838082353	0.0391186721816162	-4.67599878854155	9
5346	normal	10.4515446094118	12.1992881681269	3.60872506347272	30
5347	normal	2.34664216658824	0.0194565746965583	-5.68359844179601	4
5348	normal	6.29300596494118	4.20586047982689	2.07240099262784	23
5349	normal	6.83306286658824	3.92709093422652	1.97346100488965	24
535	normal	5.45031928494118	0.484271403676514	-1.04611228086407	20
5350	normal	3.77731735464706	2.32235072573489	1.21558586715125	15
5351	normal	7.00003045570588	0.177798074990481	-2.49168839061125	25
5352	normal	9.98650419082353	3.78355856798453	1.91974377764949	30
5354	normal	3.91939437447059	0.945389051051562	-0.0810199385524284	16
5355	normal	7.62007159935294	0.675496142015262	-0.56598056502751	26
5356	normal	8.52861403923529	0.145701156238266	-2.77891576866823	28
5357	normal	2.82622763488235	0.283867004379375	-1.81671292946265	12
5358	normal	10.2408492574706	2.52931631600944	1.3387474715609	30
5359	normal	2.33996483041176	0.00564567376162256	-7.46863852039587	4
5360	normal	7.68483918288235	3.35928777643942	1.74815539064785	26
5361	normal	6.33715229235294	0.448204361152141	-1.15777140814982	23
53615	normal	7.355932564	0.149414558476911	-2.74260736831875	26
53616	normal	3.31701319847059	0.8887089372349	-0.170217098288833	14
5362	normal	4.69206273282353	0.17740676471432	-2.49486707265689	18
53630	normal	2.38600917794118	0.061347946868902	-4.02684112773851	6
53632	normal	2.32516486423529	0.00259423569310761	-8.59047472649476	3
53635	normal	7.16102524458824	0.55224328573313	-0.856624121729451	25
53637	normal	3.08766682388235	0.0178117260641803	-5.8110288606697	13
5364	normal	3.82058650217647	0.0342377977807622	-4.86826628105406	16
5365	normal	2.35129388611765	0.00583179061912334	-7.42184536166649	5
5366	normal	4.80458349682353	1.77910608157667	0.831152535788765	18
5367	normal	2.44332809752941	0.162553570007702	-2.62101285398767	8
5368	normal	2.57736532311765	0.849785580728535	-0.234829230864223	11
537	normal	6.86846695447059	0.770731787390156	-0.375699201443457	24
5371	normal	4.08321716741177	0.294833173935722	-1.76202923266635	16
5372	normal	6.857481697	1.01812311876284	0.025912033013259	24
5373	normal	6.568386218	0.325491908332764	-1.61930641617632	24
5375	normal	2.74097494111765	0.790339263491532	-0.339456012876696	12
5376	normal	2.53184080047059	0.0695889874100891	-3.84499717487778	10
5378	normal	2.33220016929412	0.00171751247015281	-9.18546371076438	3
538	normal	7.11280327158824	0.475802107226764	-1.07156643371937	25
5380	normal	2.61629365870588	0.0548305026360301	-4.18887749076733	11
5382	normal	2.599302782	0.214117595652198	-2.22352473719713	11
53820	normal	3.07371624294118	0.146979761643833	-2.76631057782693	13
53822	normal	2.35858386705882	0.0356166419762051	-4.81130468772737	5
53826	normal	6.39683958476471	1.70164677413021	0.766931595133272	23
53827	normal	2.37455584335294	0.01498498137162	-6.06033889938925	6
53828	normal	2.31739029235294	0.000356388663926305	-11.454260931459	2
53829	normal	3.27116889341177	1.17256531337483	0.229668284922005	14
5383	normal	3.53677019852941	0.426373334709451	-1.22981087978597	15
53831	normal	2.56800163847059	0.00809272532181686	-6.94915865541178	11
53832	normal	2.33129037288235	0.00580487941538123	-7.42851818632894	3
53833	normal	2.77678418041177	0.492950109390552	-1.02048645351144	12
53834	normal	3.24695608341176	0.672051254529252	-0.573356829390202	14
53836	normal	2.58217984970588	0.3881450229285	-1.36533230647327	11
53838	normal	6.35280950358824	0.346503318001166	-1.52905892768819	23
53841	normal	2.41822297629412	0.0559377385450973	-4.16003426016017	8
53844	normal	6.89688553005882	5.11649998492645	2.3551572514222	24
539	normal	12.1282544082353	0.342039033826997	-1.54776711862059	30
53904	normal	2.31319533447059	2.50273850376399e-06	-18.6080610090335	1
53905	normal	2.54985491517647	0.0370389088355718	-4.75481459227531	10
53916	normal	2.37557606952941	0.0168143612840453	-5.894162212566	6
53917	normal	7.24668921882353	0.0765291149130724	-3.70784747530729	25
53918	normal	2.49567130429412	0.198160119983461	-2.33526144765648	10
53919	normal	2.56141809376471	0.100343059993617	-3.31698725555628	10
5393	normal	6.43859167029412	0.321468367395981	-1.63725131206566	23
53938	normal	8.31665429482353	0.513432327873288	-0.961753957925839	28
5394	normal	2.32235525182353	0.00119449286626638	-9.70938604688529	2
53940	normal	2.38358728494118	0.0272641268252024	-5.19685223806309	6
53942	normal	2.312811642	0	-26.5754247590989	1
53944	normal	6.40643087835294	0.106191328274036	-3.23526213634274	23
53947	normal	2.445201487	0.0345429630194598	-4.85546435038974	8
5396	normal	9.73316933876471	1.53211185502594	0.615521628072534	29
53981	normal	5.29054396335294	0.210012890834307	-2.2514502099867	20
54	normal	5.24324661717647	2.62204702228742	1.39069355825707	20
540	normal	2.54073783164706	0.0561439986383713	-4.15472437191088	10
54014	normal	5.34896182688235	0.320741879735107	-1.64051535401258	20
54020	normal	2.33412479288235	0.000311586255582331	-11.6480807836356	3
54033	normal	2.46754489476471	0.0366736631357711	-4.76911181344787	9
54039	normal	2.68330756570588	0.202602496873437	-2.30327614086318	11
54055	normal	2.36648449447059	0.0146918661906425	-6.08883852819064	5
54058	normal	4.72802102294118	0.201328203883678	-2.31237880264352	18
54059	normal	5.92927060064706	0.214773334402093	-2.21911321103304	22
5406	normal	2.312811642	0	-26.5754247590989	1
54067	normal	2.43284512994118	0.126203094000957	-2.98618081495422	8
54069	normal	4.34449166988235	0.405727364058518	-1.30141748728967	17
5407	normal	2.32298385529412	0.000956021644158483	-10.0306690986168	2
54072	normal	2.40003882664706	0.0723998819905506	-3.78786884401025	7
5408	normal	2.34971769011765	0.00218087109632349	-8.84087978483048	4
54084	normal	2.64991745035294	0.0305925219680416	-5.0306771459446	11
54088	normal	2.33040223435294	0.005260291968565	-7.5706414072147	3
54089	normal	2.33986734	0.00705819811369769	-7.14648435955466	4
5409	normal	3.68226269329412	2.16438800941042	1.1139591540046	15
54093	normal	4.608148892	0.115765359064691	-3.11072448043881	18
54097	normal	4.20807732570588	1.39499308768321	0.480257973387893	17
54101	normal	4.19066090394118	1.42094564643847	0.506851370123674	17
54102	normal	5.394127394	2.59906577891781	1.3779931469758	20
54103	normal	6.33180186676471	0.368707169373458	-1.43945262551564	23
54106	normal	2.73542870882353	0.0157869452902021	-5.9851241472035	12
54107	normal	5.87752930723529	1.45499895002432	0.541018112037169	22
54108	normal	6.15400989717647	0.329070465972725	-1.60353154428863	22
5411	normal	7.18600931958824	0.452614538682388	-1.14364516793146	25
54112	normal	2.36471079482353	0.0191345821636832	-5.70767379213721	5
5412	normal	8.39724047570588	1.46040517000336	0.546368681201928	28
5414	normal	2.90489737088235	0.00219138303891953	-8.83394260496619	13
54143	normal	2.33571054688235	0.00871861550881828	-6.84168522731404	4
541468	normal	3.77372133035294	0.58848184424195	-0.764930188758992	15
541471	normal	2.88419973535294	0.0769568629207399	-3.69980619967062	13
541472	normal	2.41343591082353	0.0840659386110304	-3.57233481439287	7
54148	normal	2.57480876929412	0.0849388373417814	-3.55743182882577	11
54149	normal	7.47354671582353	0.644847437857944	-0.63297021602609	26
541565	normal	3.38317633329412	0.19824114175573	-2.334671693173	14
54165	normal	6.18199370405882	0.684253371405409	-0.547397456933401	22
54187	normal	8.60898952247059	0.356220921718065	-1.4891558429832	28
5420	normal	7.11643288023529	0.454198513406784	-1.13860511078041	25
54205	normal	11.0906343005882	0.188025076271365	-2.41100301277272	30
54206	normal	9.04466190235294	4.43901941547816	2.15024101876726	29
54207	normal	2.51468727870588	0.124086928310033	-3.01057694924633	10
54209	normal	3.53464816070588	1.10263465644177	0.140954851989629	15
54210	normal	3.46497011329412	0.283874648838141	-1.81667407861319	15
54212	normal	2.39691135264706	0.0983817141923971	-3.3454659971314	7
5422	normal	4.97900100858824	0.212589164699582	-2.23386002780453	19
54221	normal	2.43414902111765	0.0520470642235429	-4.26403940088184	8
5423	normal	7.80209968876471	0.275893803703095	-1.85781503930962	27
5424	normal	4.13328521823529	0.293453802478367	-1.76879469268067	16
5425	normal	7.56414170817647	0.47392751148586	-1.07726168305765	26
5426	normal	4.70333913782353	0.27865628069284	-1.84344142389626	18
5427	normal	3.028766124	0.589083677708482	-0.763455515431657	13
542767	normal	2.34933617111765	0.00938669427264253	-6.7351671135932	4
5428	normal	8.22175755794118	0.139600080717379	-2.84062831916696	28
5429	normal	4.97815705858824	0.0992355126484818	-3.33299969059992	19
5430	normal	4.90207327170588	0.389428515697817	-1.36056956637722	19
5431	normal	9.37581836717647	0.189330991421523	-2.4010175110482	29
5432	normal	6.25302125947059	0.611901504715385	-0.708628648006316	23
54328	normal	2.46316260511765	0.229699932032051	-2.12217766506329	9
54329	normal	2.49953438352941	0.121822173751467	-3.03715134218714	10
5433	normal	7.48339199670588	0.262443995011317	-1.92991850730821	26
54331	normal	4.31565793076471	0.76256387961651	-0.391069898379171	17
54332	normal	4.920536011	0.596823098248436	-0.744624723028099	19
5434	normal	9.38461290176471	1.45915708953987	0.54513520889004	29
54344	normal	9.61068042817647	2.21489483812255	1.14723820211179	29
54346	normal	2.312811642	0	-26.5754247590989	1
5435	normal	8.48948080735294	0.127225358045528	-2.97454184344428	28
5436	normal	9.12663352894118	0.0773001690916351	-3.69338461977212	29
54360	normal	2.390805244	0.0667106601324564	-3.90593887227216	7
54361	normal	2.76691191652941	0.0381943043991883	-4.71049867265724	12
54363	normal	2.32254973211765	0.000806738388240268	-10.2756114720665	2
5437	normal	7.91992682364706	0.163012379259635	-2.61694656712833	27
5438	normal	9.34869355076471	1.14703910770981	0.197914580139427	29
54386	normal	8.62939713888235	0.357205138944487	-1.4851752588952	28
5440	normal	9.22896616005882	0.459783734676863	-1.12097266475143	29
54407	normal	8.76517306541176	1.10813537058491	0.148134132778934	28
5441	normal	5.41063072358824	1.22537531802872	0.293223697413532	20
54413	normal	2.53058851217647	0.0374643379954523	-4.7383382308723	10
54414	normal	2.32112195411765	0.000804826159559018	-10.2790351811994	2
5442	normal	2.41104600135294	0.0845039897051118	-3.56483673249944	7
54429	normal	2.32282994323529	0.00154677736881252	-9.33651872331388	2
5443	normal	2.45632056294118	0.0487309523416997	-4.35901777259599	9
54431	normal	7.12703724229412	0.39414286976085	-1.34320941918033	25
54432	normal	7.118945903	0.106155750227139	-3.23574557386085	25
