gsm_id	tissue_group	processing_run_proxy	sample_median	sample_iqr	sample_mad	q01	q99	dynamic_range	sample_median_robust_z	sample_iqr_robust_z	sample_mad_robust_z	q01_robust_z	q99_robust_z	dynamic_range_robust_z	median_pearson_correlation	correlation_connectivity	median_correlation_robust_z	connectivity_robust_z	robust_pca_distance	robust_pca_cutoff	pca_distance_method	distribution_flag	correlation_flag	pca_flag	raw_evidence_flag	independent_signal_count	candidate_exclusion_review
GSM1045217	cancer	2004-12-09	3.121207192	2.753850745	1.19852724243	2.312811642	10.7116118258	13.623854648	6.78196120874997	-3.51715024862434	6.78196120874996	0	-3.17042260970287	3.40808102985887	0.826133831828794	98.1434578428127	-3.99329371940078	-3.88789831603304	22.1635730236666	20.5150056524329	MASS_cov.rob_mve	TRUE	TRUE	TRUE	FALSE	3	TRUE
GSM1045218	cancer	2004-12-10	2.758486888	3.2147602055	0.660758119719601	2.312811642	11.6684722226	13.107521208	-0.695964398999815	-0.45801189212491	-0.695964398999815	0	1.06949917170723	0.208151392883537	0.886320956087427	105.565619542847	-1.09711099590168	-0.976318852587016	13.1992449604152	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045219	cancer	2004-12-10	2.767567708	3.283521286	0.6742213434516	2.312811642	11.5265823696	13.030968048	-0.508752115406874	-0.00163232776598488	-0.508752115406874	0	0.440774354265008	-0.266279868992729	0.914649421098552	108.917324445745	0.266044528790187	0.338494210939305	3.86075069731598	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045220	cancer	2004-12-07	2.768347509	3.4045154175	0.6753774764142	2.312811642	11.6353461054	13.188580868	-0.492675557787847	0.801427319092755	-0.492675557787847	0	0.922714806590294	0.710511279543498	0.923421500131349	109.80522823132	0.688153809751773	0.686802767405383	4.88521100363452	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045221	cancer	2004-12-10	3.042142994	2.873180195	1.0813066624752	2.312811642	11.1050517404	13.236714638	5.15195543195619	-2.72513939000804	5.15195543195618	0	-1.42706018278303	1.00881595096349	0.872977848433027	104.193415399707	-1.73917652640289	-1.51460965845863	9.39354792960267	20.5150056524329	MASS_cov.rob_mve	TRUE	FALSE	FALSE	FALSE	1	FALSE
GSM1045222	cancer	2004-12-20	2.839508894	3.271963196	0.780881345815201	2.312811642	11.2886928462	13.008437008	0.974403999948862	-0.0783454340852163	0.97440399994886	0	-0.613332363084803	-0.405913944693652	0.924386403461584	110.425982563216	0.734584610181185	0.930313436889134	2.40089060221732	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045223	cancer	2004-12-14	2.74922339	3.452115358	0.6470240575848	2.312811642	11.5125363242	13.081066098	-0.886942814455543	1.11735662024591	-0.886942814455543	0	0.378535250177005	0.0441982494682306	0.926057164841755	110.323634556133	0.814981045530844	0.890164169385676	17.893569262596	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045224	cancer	2004-12-03	2.852707015	3.1305362965	0.8004488800098	2.312811642	11.4505371236	13.183528818	1.24649951241865	-1.01702100917951	1.24649951241865	0	0.103812038794163	0.679201658143651	0.874542073394222	104.344226515825	-1.66390658513085	-1.45544919196738	7.71891660750663	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045225	cancer	2004-12-03	2.850304327	3.1553582825	0.796886654781	2.312811642	10.940862091	12.867807628	1.19696514137712	-0.852273057651856	1.19696514137712	0	-2.15459710781549	-1.27745176508248	0.902544365707012	107.185764713563	-0.316446373106472	-0.340765277024958	3.78374323945036	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045226	cancer	2004-12-03	2.783957358	3.2923436925	0.6985206385416	2.312811642	11.2768428204	13.074015518	-0.170859303547478	0.0569235588749616	-0.170859303547478	0	-0.665840735954757	0.000502919760610034	0.931247123638457	110.372582650341	1.06471999198873	0.909365619264052	2.1537752835605	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
