resource	entrez_id
GO_BP	112770
GO_BP	11278
GO_BP	11279
GO_BP	1128
GO_BP	11280
GO_BP	112802
GO_BP	11281
GO_BP	112812
GO_BP	112817
GO_BP	11282
GO_BP	11283
GO_BP	11284
GO_BP	112840
GO_BP	11285
GO_BP	112858
GO_BP	112869
GO_BP	1129
GO_BP	112936
GO_BP	112937
GO_BP	112939
GO_BP	112950
GO_BP	113
GO_BP	1130
GO_BP	113000
GO_BP	113026
GO_BP	11309
GO_BP	113091
GO_BP	1131
GO_BP	11311
GO_BP	113115
GO_BP	113130
GO_BP	11314
GO_BP	113146
GO_BP	11315
GO_BP	11316
GO_BP	11317
GO_BP	113174
GO_BP	113178
GO_BP	113179
GO_BP	11318
GO_BP	113189
GO_BP	11319
GO_BP	1132
GO_BP	11320
GO_BP	11322
GO_BP	113220
GO_BP	113235
GO_BP	113246
GO_BP	11325
GO_BP	113251
GO_BP	11326
GO_BP	113277
GO_BP	113278
GO_BP	11328
GO_BP	11329
GO_BP	1133
GO_BP	11330
GO_BP	11331
GO_BP	11332
GO_BP	11333
GO_BP	11334
GO_BP	11335
GO_BP	11336
GO_BP	11337
GO_BP	11338
GO_BP	11339
GO_BP	1134
GO_BP	11340
GO_BP	113402
GO_BP	11341
GO_BP	113419
GO_BP	11342
GO_BP	11343
GO_BP	11344
GO_BP	11345
GO_BP	113451
GO_BP	11346
GO_BP	1135
GO_BP	113510
GO_BP	113540
GO_BP	1136
GO_BP	113612
GO_BP	113622
GO_BP	113655
GO_BP	113675
GO_BP	1137
GO_BP	113746
GO_BP	113791
GO_BP	1138
GO_BP	113802
GO_BP	113828
GO_BP	113829
GO_BP	113835
GO_BP	113878
GO_BP	114
GO_BP	1140
GO_BP	114026
GO_BP	114034
GO_BP	114049
GO_BP	114088
GO_BP	1141
GO_BP	114112
GO_BP	114131
GO_BP	114132
GO_BP	114134
GO_BP	1142
GO_BP	114294
GO_BP	1143
GO_BP	114327
GO_BP	1144
GO_BP	1145
GO_BP	114548
GO_BP	114569
GO_BP	114571
GO_BP	1146
GO_BP	114609
GO_BP	114614
GO_BP	114625
GO_BP	1147
GO_BP	114757
GO_BP	114769
GO_BP	114770
GO_BP	114771
GO_BP	114780
GO_BP	114781
GO_BP	114784
GO_BP	114786
GO_BP	114787
GO_BP	114788
GO_BP	114789
GO_BP	114790
GO_BP	114791
GO_BP	114793
GO_BP	114794
GO_BP	114795
GO_BP	114798
GO_BP	114799
GO_BP	114803
GO_BP	114804
GO_BP	114805
GO_BP	114814
GO_BP	114815
GO_BP	114818
GO_BP	114821
GO_BP	114822
GO_BP	114825
GO_BP	114826
GO_BP	114827
GO_BP	114836
GO_BP	114876
GO_BP	114879
GO_BP	114880
GO_BP	114881
GO_BP	114882
GO_BP	114883
GO_BP	114884
GO_BP	114885
GO_BP	114897
GO_BP	114898
GO_BP	114899
GO_BP	1149
GO_BP	114900
GO_BP	114907
GO_BP	114971
GO_BP	114990
GO_BP	114991
GO_BP	115
GO_BP	115004
GO_BP	115019
GO_BP	115024
GO_BP	115098
GO_BP	115106
GO_BP	115111
