term_id	p_value	bh_fdr	log2err	ES	NES	intersected_set_size	leading_edge_ids	status	collection	term_name	original_set_size	direction	rank_statistic	rank_gene_count	rank_tie_member_fraction	score_exponent	source_snapshot	leading_edge_symbols
R-HSA-110320	0.773049645390071	0.879167109191537	0.0655321029282414	0.281060502570671	0.799522659716443	19	5983;5111;5984	completed	Reactome_preranked_GSEA_fallback	Translesion Synthesis by POLH	19	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RFC3;PCNA;RFC4
R-HSA-983705	0.77602523659306	0.879623962207888	0.0464154956843849	-0.225093112410542	-0.849607514267271	94	801;30011;5532;2534;5700;7311;6654;7316;5534;974;4690;6233;9861;5714;5530;5295;5684;5695;4067;5707;4775;4773;4792;118788;2280;5694;5688;7220;5713;5717;10768;695	completed	Reactome_preranked_GSEA_fallback	Signaling by the B Cell Receptor (BCR)	96	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CALM1;SH3KBP1;PPP3CB;FYN;PSMC1;UBA52;SOS1;UBC;PPP3R1;CD79B;NCK1;RPS27A;PSMD6;PSMD8;PPP3CA;PIK3R1;PSMA3;PSMB7;LYN;PSMD1;NFATC3;NFATC2;NFKBIA;PIK3AP1;FKBP1A;PSMB6;PSMA7;TRPC1;PSMD7;PSMD11;AHCYL1;BTK
R-HSA-2122948	0.774271844660194	0.879623962207888	0.0667426134241917	0.251678827917224	0.814901145201626	31	54492;3714;55851;6868;23385;102;142678;5664;51107;113878;8650	completed	Reactome_preranked_GSEA_fallback	Activated NOTCH1 Transmits Signal to the Nucleus	31	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	NEURL1B;JAG2;PSENEN;ADAM17;NCSTN;ADAM10;MIB2;PSEN2;APH1A;DTX2;NUMB
R-HSA-5223345	0.775337837837838	0.879623962207888	0.0495901956956338	-0.270120650012731	-0.800458767703079	27	2039;1446;120;93380	completed	Reactome_preranked_GSEA_fallback	Miscellaneous transport and binding events	28	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	DMTN;CSN1S1;ADD3;MMGT1
R-HSA-175474	0.775824175824176	0.879623962207888	0.0618406035753285	0.284773451814308	0.779315208952094	16	79720;5478;51160;155382	completed	Reactome_preranked_GSEA_fallback	Assembly Of The HIV Virion	23	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	VPS37B;PPIA;VPS28;VPS37D
R-HSA-5632684	0.778861788617886	0.882107758940058	0.0476387259290825	-0.229097337502933	-0.836441004535393	71	5700;50937;7311;408;91653;7316;83737;50846;2619;6233;9861;5714;5684;5727;5695;3549;5707;132884;409;2736;79577;5694;5688;22873;5713;5717	completed	Reactome_preranked_GSEA_fallback	Hedgehog 'on' state	72	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PSMC1;CDON;UBA52;ARRB1;BOC;UBC;ITCH;DHH;GAS1;RPS27A;PSMD6;PSMD8;PSMA3;PTCH1;PSMB7;IHH;PSMD1;EVC2;ARRB2;GLI2;CDC73;PSMB6;PSMA7;DZIP1;PSMD7;PSMD11
R-HSA-1257604	0.779944289693593	0.882183986402349	0.0404934829859503	-0.203060445997406	-0.870399413841332	258	152831;5468;2247;5519;3725;9365;80243;2308;58528;5290;9846;2534;90865;5781;2246;1956;8660;2252;5700;4915;5525;64121;1459	completed	Reactome_preranked_GSEA_fallback	PIP3 activates AKT signaling	264	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	KLB;PPARG;FGF2;PPP2R1B;JUN;KL;PREX2;FOXO1;RRAGD;PIK3CA;GAB2;FYN;IL33;PTPN11;FGF1;EGFR;IRS2;FGF7;PSMC1;NTRK2;PPP2R5A;RRAGC;CSNK2A2
R-HSA-8934593	0.78021978021978	0.882183986402349	0.0615706755421678	0.281997266265351	0.771717858822045	16	4343;595;57690;5371;6714	completed	Reactome_preranked_GSEA_fallback	Regulation of RUNX1 Expression and Activity	17	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	MOV10;CCND1;TNRC6C;PML;SRC
R-HSA-8956321	0.781411359724613	0.882801098135162	0.0500922874402106	-0.276725098465643	-0.785399271427228	23	7084;132;161823;100	completed	Reactome_preranked_GSEA_fallback	Nucleotide salvage	23	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	TK2;ADK;MAPDA;ADA
R-HSA-5635838	0.782456140350877	0.883251481304417	0.0509082865515105	-0.285714751281624	-0.767608940800494	18	50937;408;91653;50846;2619;5727;3549;132884;409	completed	Reactome_preranked_GSEA_fallback	Activation of SMO	18	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CDON;ARRB1;BOC;DHH;GAS1;PTCH1;IHH;EVC2;ARRB2
R-HSA-1660662	0.787654320987654	0.888385690420894	0.0667426134241917	0.229218584752527	0.838607488202954	54	414;8706;7357;6610;22901;10825;2720;4758;57704;2523	completed	Reactome_preranked_GSEA_fallback	Glycosphingolipid metabolism	58	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	ARSD;B3GALNT1;UGCG;SMPD2;ARSG;NEU3;GLB1;NEU1;GBA2;FUT1
R-HSA-9754678	0.789855072463768	0.888668217331663	0.0655321029282414	0.235676892527118	0.827372643555378	42	6229;6628;54960;6636;6227;6637;6634	completed	Reactome_preranked_GSEA_fallback	SARS-CoV-2 modulates host translation machinery	52	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RPS24;SNRPB;GEMIN8;SNRPF;RPS21;SNRPG;SNRPD3
R-HSA-2173793	0.789731051344743	0.888668217331663	0.066132620475844	0.22912340815847	0.822604495767508	50	1278;4221;60436;904;3065;905;6498;51592;1025;1874;2033;142	completed	Reactome_preranked_GSEA_fallback	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	51	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	COL1A2;MEN1;TGIF2;CCNT1;HDAC1;CCNT2;SKIL;TRIM33;CDK9;E2F4;EP300;PARP1
R-HSA-9764561	0.789297658862876	0.888668217331663	0.0483117581055019	-0.235293054322462	-0.817033837243632	55	2534;5700;2060;7311;7316;6233;9861;5714;1520;1514;5684;5695;5707;7414;5694;5688;5713;5717	completed	Reactome_preranked_GSEA_fallback	Regulation of CDH1 Function	59	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	FYN;PSMC1;EPS15;UBA52;UBC;RPS27A;PSMD6;PSMD8;CTSS;CTSL;PSMA3;PSMB7;PSMD1;VCL;PSMB6;PSMA7;PSMD7;PSMD11
R-HSA-113418	0.791878172588833	0.889480248092797	0.048701086452153	-0.265114050696205	-0.802779114401686	30	902;5441;5434;2963;4331;404672	completed	Reactome_preranked_GSEA_fallback	Formation of the Early Elongation Complex	33	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CCNH;POLR2L;POLR2E;GTF2F2;MNAT1;GTF2H5
R-HSA-167158	0.791878172588833	0.889480248092797	0.048701086452153	-0.265114050696205	-0.802779114401686	30	902;5441;5434;2963;4331;404672	completed	Reactome_preranked_GSEA_fallback	Formation of the HIV-1 Early Elongation Complex	33	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CCNH;POLR2L;POLR2E;GTF2F2;MNAT1;GTF2H5
