pca_feature_set	PC	variance_explained
all_eligible_genes	11	0.0131270122806577
all_eligible_genes	12	0.0117683339000821
all_eligible_genes	13	0.0115744720024408
all_eligible_genes	14	0.0109642827674282
all_eligible_genes	15	0.010412816940539
all_eligible_genes	16	0.00968909874105456
all_eligible_genes	17	0.00911718221031268
all_eligible_genes	18	0.00895212620347894
all_eligible_genes	19	0.00846247358494808
all_eligible_genes	20	0.00817695157446314
all_eligible_genes	21	0.00792792044802514
all_eligible_genes	22	0.00745699457826759
all_eligible_genes	23	0.00720574818884869
all_eligible_genes	24	0.00703344893656589
all_eligible_genes	25	0.00683036914766862
all_eligible_genes	26	0.00671790216187147
all_eligible_genes	27	0.00656613907228018
all_eligible_genes	28	0.00640999063293133
all_eligible_genes	29	0.00635246636641527
all_eligible_genes	30	0.006242833793418
all_eligible_genes	31	0.00604525385346626
all_eligible_genes	32	0.0058586617924656
all_eligible_genes	33	0.00576455320717816
all_eligible_genes	34	0.00569331143665665
all_eligible_genes	35	0.00540946144487697
all_eligible_genes	36	0.00536491434918538
all_eligible_genes	37	0.00514036803721484
all_eligible_genes	38	0.00504390145339411
all_eligible_genes	39	0.00495641186639531
all_eligible_genes	40	0.00485144436630287
all_eligible_genes	41	0.00478046272070321
all_eligible_genes	42	0.00473142961750354
all_eligible_genes	43	0.00454294907565188
all_eligible_genes	44	0.00452824639150379
all_eligible_genes	45	0.00446512434326185
all_eligible_genes	46	0.00440769364973082
all_eligible_genes	47	0.00429723438919875
all_eligible_genes	48	0.00426731891128171
all_eligible_genes	49	0.00419902387966049
all_eligible_genes	50	0.00417142952970656
all_eligible_genes	51	0.00404687644137178
all_eligible_genes	52	0.00397282106755823
all_eligible_genes	53	0.00390216577998962
all_eligible_genes	54	0.00386826877694935
all_eligible_genes	55	0.00376799755655315
all_eligible_genes	56	0.00375137736307125
all_eligible_genes	57	0.00367677559355526
all_eligible_genes	58	0.00360175966117172
all_eligible_genes	59	0.00352020098373695
