probe_id	entrez_count	mapped_entrez_ids	probe_variance	pooled_median_expression	is_constant	is_affx_control	suffix_class	mapping_status	primary_eligible	many_probes_per_gene
214934_at	1	374868	0.592798798837824	6.85679458	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214935_at	2	23636;259307	0.0175821464688896	2.420181126	FALSE	FALSE	at	one_to_many	FALSE	FALSE
214936_at	1	23143	0.0235257109297477	2.32192015	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214937_x_at	1	5108	0.881464615301661	9.25065404	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
214938_x_at	1	3146	0.183114135260357	12.16280197	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
214939_x_at	1	4301	0.0506017895028635	2.312811642	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
214940_s_at	1	23293	0.155272089210961	5.067630667	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214941_s_at	1	55660	0.0956916465308371	4.199978102	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214942_at	1	23029	0.0443705912997808	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214943_s_at	2	23029;51742	0.664490607700711	3.044502721	FALSE	FALSE	s_at	one_to_many	FALSE	FALSE
214944_at	1	23035	0.00156867224230811	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214945_at	3	202134;285596;653316	0.451550380026201	2.369012036	FALSE	FALSE	at	one_to_many	FALSE	FALSE
214946_x_at	2	253725;387680	0.192846197514157	7.36393866	FALSE	FALSE	x_at	one_to_many	FALSE	FALSE
214947_at	1	54491	0.0113217767279751	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214948_s_at	1	7110	0.948125380039648	7.397478674	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214949_at	0	NA	1.50821659025071	6.469908463	FALSE	FALSE	at	unmapped	FALSE	FALSE
214950_at	0	NA	0.110812981712668	2.904628005	FALSE	FALSE	at	unmapped	FALSE	FALSE
214951_at	1	65012	0.0649990894427512	2.348680921	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214952_at	1	4684	0.00398551678031971	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214953_s_at	1	351	2.44534043105444	7.897057626	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214954_at	1	26032	0.420647461772125	2.363481871	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214955_at	1	164656	0.837976711364993	3.639364942	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214956_at	1	22848	0.0632735778859475	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214957_at	1	81569	1.30121771663259	2.491671856	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214958_s_at	1	11322	0.22121013103199	2.589027059	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214959_s_at	1	8539	0.327151814068494	2.425192549	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214960_at	1	8539	1.07214850770827	4.850843799	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214961_at	1	23281	0.160252693008804	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214962_s_at	1	23279	0.0510441593385401	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214963_at	1	23279	0.193996030951261	2.608115671	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214964_at	0	NA	0.564824973977124	2.969461823	FALSE	FALSE	at	unmapped	FALSE	FALSE
214965_at	1	124044	0.578216742059655	6.954117646	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214966_at	1	2901	0.0438360010856691	2.332996432	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214967_at	0	NA	0.318885969725726	2.498346236	FALSE	FALSE	at	unmapped	FALSE	FALSE
214968_at	1	317781	0.0551102808740192	2.314918449	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214969_at	1	4293	0.062955589180231	2.32981432	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214970_s_at	1	6480	0.0360871452268993	2.410149184	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214971_s_at	1	6480	0.033447800196028	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214972_at	1	10724	0.0950100203113209	2.613171705	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214973_x_at	1	3495	1.47410211422946	3.346302606	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
214974_x_at	1	6374	1.30249633010972	2.312811642	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
214975_s_at	1	8776	0.216085311558768	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214976_at	1	6137	0.190922365993908	2.480383353	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214977_at	0	NA	0.0537196526804112	2.322259115	FALSE	FALSE	at	unmapped	FALSE	FALSE
214978_s_at	1	8497	1.22246690033292	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	FALSE
214979_at	0	NA	0.0955130613110119	2.312811642	FALSE	FALSE	at	unmapped	FALSE	FALSE
214980_at	1	7337	0.257560285629039	3.135330648	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214981_at	1	10631	1.76390474081218	4.988279596	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214982_at	1	23020	0.031552855730013	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214983_at	1	64595	0.000206407138800926	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214984_at	5	100271836;23049;440354;595101;641298	0.249388070590466	2.34603151	FALSE	FALSE	at	one_to_many	FALSE	FALSE
214985_at	1	2131	0.283784985179933	2.762961025	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214986_x_at	1	23759	0.390703254657397	5.60353969	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
214987_at	1	2549	0.200192753178294	5.078414695	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214988_s_at	1	6651	0.386107186030066	10.54665853	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214989_x_at	2	100421296;54477	0.206360718940186	7.20510403	FALSE	FALSE	x_at	one_to_many	FALSE	FALSE
214990_at	1	84720	0.240442654705715	2.76791407	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214991_s_at	1	84720	0.0847542837100143	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214992_s_at	1	1777	0.145067597342398	3.507678798	FALSE	FALSE	s_at	primary_eligible	TRUE	FALSE
214993_at	1	253982	0.935077634462002	2.594026024	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214994_at	1	200316	0.310914744267917	4.41531002	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214995_s_at	2	200316;60489	0.0838150870592823	2.379028931	FALSE	FALSE	s_at	one_to_many	FALSE	FALSE
214996_at	0	NA	0.317800545297486	3.219573571	FALSE	FALSE	at	unmapped	FALSE	FALSE
214997_at	1	286205	0.1522379472377	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214998_at	1	22848	0.0399972514941631	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214999_s_at	1	9727	0.146047049310383	5.078877108	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215000_s_at	1	9637	0.975283098594057	9.176669925	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215001_s_at	1	2752	0.49322078361941	12.96310519	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215002_at	6	100132247;23117;440345;613037;642799;728888	0.200168994360271	2.317104392	FALSE	FALSE	at	one_to_many	FALSE	FALSE
215003_at	0	NA	0.0277428606121779	2.433870076	FALSE	FALSE	at	unmapped	FALSE	FALSE
215004_s_at	1	57794	0.224284287976964	5.973607282	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215005_at	1	54550	0.013973830566808	3.814682053	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
215006_at	0	NA	0.61743210360143	4.169057403	FALSE	FALSE	at	unmapped	FALSE	FALSE
215008_at	1	7093	0.0608316895506262	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215009_s_at	1	100499177	0.972426938690167	7.93028353	FALSE	FALSE	s_at	primary_eligible	TRUE	FALSE
215010_s_at	1	9024	0.029082860371756	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215011_at	1	8420	0.784577646441763	4.292027379	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
215012_at	1	26036	0.775628032358367	5.102806539	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215013_s_at	1	9736	0.19368634383361	2.488386917	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215014_at	1	3752	0.738216973441326	2.454009548	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215015_at	1	92558	0.0587409901052648	2.617206428	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
215016_x_at	1	667	1.41425890451768	7.866161746	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215017_s_at	1	54874	1.4858537192566	9.660783251	FALSE	FALSE	s_at	primary_eligible	TRUE	FALSE
215018_at	1	85459	0.0097557720554476	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215019_x_at	1	84436	0.376303017016802	4.189975463	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215020_at	1	9369	0.0221856704789474	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215021_s_at	1	9369	0.0283473771129931	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215022_x_at	1	7582	0.443261391143678	4.94224116	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215023_s_at	1	5189	0.230655378200192	2.884442268	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215024_at	1	221960	0.14722266694702	4.070059816	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
215025_at	1	4916	0.389664214498087	2.312893552	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215026_x_at	1	6337	0.0844285460059588	2.43048013	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215027_at	1	10411	0.100478724725363	2.553687138	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215028_at	1	57556	1.10099600884231	2.823071847	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215029_at	1	79647	0.253446905017956	2.530234695	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215030_at	1	2926	0.661616912929133	4.629218903	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215031_x_at	1	55658	0.219428443000002	5.342938682	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215032_at	1	6239	0.371646276000532	4.46274343	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215033_at	1	4071	0.24034704728423	2.327671101	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215034_s_at	1	4071	3.85481180100759	8.175082915	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215035_at	2	100423062;28778	0.0226787600187433	2.312811642	FALSE	FALSE	at	one_to_many	FALSE	FALSE
215036_at	0	NA	0.00367883992941622	2.312811642	FALSE	FALSE	at	unmapped	FALSE	FALSE
215037_s_at	1	598	0.0972761950117303	2.314824832	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215038_s_at	1	29072	0.627019088475806	5.69790482	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215039_at	1	339524	4.20295237900761	3.144205626	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215040_at	1	79621	0.146519993168922	3.020468686	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215041_s_at	1	23348	0.00691592042310068	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215042_at	1	654	0.00434660575800361	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215043_s_at	3	11039;11042;653188	2.01345460929542	4.353986131	FALSE	FALSE	s_at	one_to_many	FALSE	FALSE
215044_s_at	1	10254	0.12032294407322	3.309271196	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215045_at	1	11189	0.102470247224042	2.688872317	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
215046_at	1	151050	0.405066543306255	2.878228595	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215047_at	1	25893	0.261356428825789	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215048_at	1	140883	0.0508119275418653	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215049_x_at	1	9332	3.8634353009023	4.777349515	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215050_x_at	1	9261	0.0506480104501281	2.335572939	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215051_x_at	1	199	1.31204868888367	8.343145046	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215052_at	1	9758	0.0356918588758305	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215053_at	1	10847	0.00586182619264647	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215054_at	2	2057;57139	0.29221324858297	5.09264738	FALSE	FALSE	at	one_to_many	FALSE	FALSE
215055_at	1	146712	0.113457374099843	4.517402151	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215056_at	1	79605	0.368020201735958	2.515219481	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215057_at	1	100272228	0.60798836819596	3.532380731	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215058_at	1	160518	0.34240715787837	2.529895506	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215059_at	0	NA	0.29393973364799	2.75600762	FALSE	FALSE	at	unmapped	FALSE	FALSE
215060_at	1	101927610	0.0111320430102026	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215061_at	1	399818	0.00551484410920594	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215062_at	0	NA	0.555145286748901	2.464443197	FALSE	FALSE	at	unmapped	FALSE	FALSE
215063_x_at	1	55631	0.174654518173753	6.512394558	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215064_at	1	6309	0.0331023161053304	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215065_at	1	23133	0.0254270845533964	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215066_at	1	5792	1.21975619014311	5.824427208	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215067_x_at	1	7001	0.905514244346169	8.326366931	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215068_s_at	1	80028	0.178892429842582	3.044127254	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215069_at	1	9397	0.224748353729526	3.782161332	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215070_x_at	2	23637;2844	0.161604553632813	2.353056925	FALSE	FALSE	x_at	one_to_many	FALSE	FALSE
215071_s_at	1	8334	3.15796663783484	8.325592454	FALSE	FALSE	s_at	primary_eligible	TRUE	FALSE
215072_x_at	1	26098	0.0308218342376879	2.312811642	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
